title,year
The Puppet Masters,1994
Radioland Murders,1994
The Ref,1994
The Remains of the Day,1993
Renaissance Man,1994
Rising Sun,1993
The Road to Wellville,1994
RoboCop 3,1993
Robin Hood: Men in Tights,1993
Romeo Is Bleeding,1993
Romper Stomper,1992
Ruby in Paradise,1993
Rudy,1993
The Saint of Fort Washington,1993
Savage Nights,1992
Schindler's List,1993
The Scout,1994
Searching for Bobby Fischer,1993
Second Best,1994
The Secret Garden,1993
Serial Mom,1994
The Shadow,1994
Shadowlands,1993
Short Cuts,1993
A Simple Twist of Fate,1994
Sirens,1993
Six Degrees of Separation,1993
Sleepless in Seattle,1993
Sliver,1993
Blade Runner,1982
Son in Law,1993
So I Married an Axe Murderer,1993
Striking Distance,1993
Harem,1985
Super Mario Bros.,1993
Surviving the Game,1994
Terminal Velocity,1994
Thirty Two Short Films About Glenn Gould,1993
Threesome,1994
The Nightmare Before Christmas,1993
The Three Musketeers,1993
Tombstone,1993
Trial by Jury,1994
True Romance,1993
The War Room,1993
The Pagemaster,1994
"Paris, France",1994
"The Beans of Egypt, Maine",1994
Killer,1994
Welcome to the Dollhouse,1995
Germinal,1993
Chasers,1994
Cronos,1993
Naked in New York,1993
Kika,1993
Bhaji on the Beach,1994
Little Big League,1994
The Slingshot,1993
Wide Eyed and Legless,1993
Foreign Student,1994
"Ciao, Professore!",1992
Spanking the Monkey,1994
The Little Rascals,1994
À la mode,1993
Andre,1994
The Escort,1993
Princess Caraboo,1994
The Celluloid Closet,1996
Café au Lait,1993
Dear Diary,1993
I Don't Want to Talk About It,1993
The Brady Bunch Movie,1995
Home Alone,1990
Ghost,1990
Aladdin,1992
Terminator 2: Judgment Day,1991
Dances with Wolves,1990
Tough and Deadly,1995
Batman,1989
The Silence of the Lambs,1991
Snow White and the Seven Dwarfs,1937
Beauty and the Beast,1991
Pinocchio,1940
Pretty Woman,1990
Window to Paris,1993
The Wild Bunch,1969
Love and a .45,1994
The Wooden Man's Bride,1994
A Great Day in Harlem,1994
Bye Bye Love,1995
One Fine Day,1996
Candyman: Farewell to the Flesh,1995
Century,1993
Fargo,1996
Homeward Bound II: Lost in San Francisco,1996
Heavy Metal,1981
Hellraiser: Bloodline,1996
The Pallbearer,1996
Jane Eyre,1996
Loaded,1996
Bread and Chocolate,1974
The Aristocats,1970
The Flower of My Secret,1995
Two Much,1996
Ed,1996
Scream of Stone,1991
My Favorite Season,1993
A Modern Affair,1996
Condition Red,1995
Halfaouine: Boy of the Terraces,1990
A Thin Line Between Love and Hate,1996
The Last Supper,1995
Primal Fear,1996
Rude,1995
Carried Away,1996
All Dogs Go to Heaven 2,1996
Land and Freedom,1995
Denise Calls Up,1995
Theodore Rex,1995
A Family Thing,1996
Frisk,1996
Sgt. Bilko,1996
Jack & Sarah,1995
Girl 6,1996
Diabolique,1996
"Little Indian, Big City",1994
Roula,1995
Peanuts – Die Bank zahlt alles,1996
Happy Weekend,1996
Nelly and Monsieur Arnaud,1996
Courage Under Fire,1996
Mission: Impossible,1996
Cold Fever,1995
Moll Flanders,1996
The Superwife,1996
"301, 302",1995
DragonHeart,1996
Und keiner weint mir nach,1996
My Mother's Courage,1995
Eddie,1996
Yankee Zulu,1993
Billy's Holiday,1995
Purple Noon,1960
August,1996
James and the Giant Peach,1996
Fear,1996
Kids in the Hall: Brain Candy,1996
Faithful,1996
Underground,1995
All Things Fair,1995
Bloodsport II,1996
Pather Panchali,1955
The World of Apu,1959
Mystery Science Theater 3000: The Movie,1996
Tarantella,1996
Space Jam,1996
Barbarella,1968
Hostile Intentions,1995
They Bite,1996
Some Folks Call It a Sling Blade,1994
The Run of the Country,1995
Alphaville,1965
Coup de Torchon,1981
Tigrero: A Film That Was Never Made,1994
The Eye of Vichy,1993
Windows,1980
It's My Party,1996
Country Life,1994
Operation Dumbo Drop,1995
The Promise,1995
Mrs. Winterbourne,1996
Solo,1996
Under The Domim Tree,1994
The Substitute,1996
True Crime,1996
Butterfly Kiss,1995
Feeling Minnesota,1996
Delta of Venus,1995
To Cross the Rubicon,1991
Angus,1995
Priest Daens,1992
Faces,1968
Boys,1996
The Quest,1996
Cosi,1996
Sunset Park,1996
Mulholland Falls,1996
The Truth About Cats & Dogs,1996
Oliver & Company,1988
Celtic Pride,1996
Flipper,1996
Captives,1994
Of Love and Shadows,1994
Dead Man,1995
The Horseman on the Roof,1995
Switchblade Sisters,1975
Mouth to Mouth,1995
The Visitors,1993
Multiplicity,1996
"The Haunted World of Edward D. Wood, Jr.",1996
Two Friends,2002
The Craft,1996
The Great White Hype,1996
Last Dance,1996
Cold Comfort Farm,1995
"Institute Benjamenta, or This Dream People Call Human Life",1995
Heaven's Prisoners,1996
Original Gangstas,1996
The Rock,1996
Getting Away with Murder,1996
Cemetery Man,1994
Twister,1996
Barb Wire,1996
Le Garçu,1995
Honeymoon,1996
Ghost in the Shell,1995
Thinner,1996
Spy Hard,1996
Brothers in Trouble,1995
A Close Shave,1995
Force of Evil,1948
The Stupids,1996
The Arrival,1996
The Man from Down Under,1943
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
Careful,1992
A Month by the Lake,1995
Gold Diggers: The Secret of Bear Mountain,1995
Kim,1950
Carmen Miranda: Bananas Is My Business,1995
Ashes of Time,1994
The Jar,1994
Maya Lin: A Strong Clear Vision,1995
Stalingrad,1993
The Phantom,1996
Striptease,1996
The Last of the High Kings,1996
Heavy,1995
Jack,1996
I Shot Andy Warhol,1996
The Grass Harp,1995
Someone Else's America,1995
Life is Rosy,1987
Quartier Mozart,1992
Touki Bouki,1973
God's Gift,1982
Spirits of the Dead,1968
Babyfever,1994
Pharaoh's  Army,1995
Trainspotting,1996
Til There Was You,1997
Independence Day,1996
Stealing Beauty,1996
The Fan,1996
The Hunchback of Notre Dame,1996
The Cable Guy,1996
Kingpin,1996
Eraser,1996
The Gate of Heavenly Peace,1995
The Nutty Professor,1996
"I, the Worst of All",1990
An Unforgettable Summer,1994
A Hungarian Fairy Tale,1987
My Life and Times With Antonin Artaud,1993
Midnight Dancers,1994
Somebody to Love,1994
A Very Natural Thing,1974
The Old Lady Who Walked in the Sea,1991
Daylight,1996
The Frighteners,1996
Lone Star,1996
Harriet the Spy,1996
Phenomenon,1996
Walking and Talking,1996
She's the One,1996
A Time to Kill,1996
American Buffalo,1996
Rendezvous in Paris,1995
Alaska,1996
Fled,1996
Kazaam,1996
Magic Hunter,1994
Larger Than Life,1996
A Boy Called Hate,1996
Power 98,1996
Two Deaths,1995
A Very Brady Sequel,1996
Stefano Quantestorie,1993
Death in the Garden,1956
Hedd Wyn,1992
La Collectionneuse,1967
Kaspar Hauser,1993
Regular Guys,1996
Diebinnen,1996
The Convent,1995
The Adventures of Pinocchio,1996
Joe's Apartment,1996
The First Wives Club,1996
Stonewall,1995
Ransom,1996
High School High,1996
Phat Beach,1996
Foxfire,1996
Chain Reaction,1996
Matilda,1996
Emma,1996
The Crow: City of Angels,1996
House Arrest,1996
Eyes Without a Face,1960
Bordello of Blood,1996
Lotto Land,1995
The Story of Xinghua,1994
The Day the Sun Turned Cold,1994
Flirt,1995
The Big Squeeze,1996
The Spitfire Grill,1996
Escape from L.A.,1996
Cyclo,1995
Basquiat,1996
Tin Cup,1996
Dingo,1991
The Ballad of Narayama,1958
Every Other Weekend,1990
Mille bolle blu,1993
Crows and Sparrows,1949
The Godfather,1972
Maybe... Maybe Not,1994
Police Story 3: Supercop,1992
Manny & Lo,1996
Wife,1953
Small Faces,1996
Bound,1996
Carpool,1996
Death in Brunswick,1990
Kansas City,1996
Gone Fishin',1997
Lover's Knot,1996
Vive L'Amour,1994
Shadow of Angels,1976
Killer: A Journal of Murder,1996
Nothing to Lose,1994
Project S,1993
Girls Town,1996
Bye-Bye,1995
The Relic,1997
The Island of Dr. Moreau,1996
First Kid,1996
The Trigger Effect,1996
Sweet Nothing,1995
Bogus,1996
Bulletproof,1996
Talk of Angels,1998
The Land Before Time III: The Time of the Great Giving,1995
1-900,1994
Baton Rouge,1988
Halloween: The Curse of Michael Myers,1995
Twelfth Night,1996
Mother Night,1996
Liebelei,1933
Venice,2010
Wild Reeds,1994
For Whom the Bell Tolls,1943
The Philadelphia Story,1940
Singin' in the Rain,1952
An American in Paris,1951
Funny Face,1957
Breakfast at Tiffany's,1961
Vertigo,1958
Rear Window,1954
It Happened One Night,1934
Gaslight,1944
The Gay Divorcee,1934
North by Northwest,1959
The Apartment,1960
Some Like It Hot,1959
Charade,1963
Casablanca,1942
The Maltese Falcon,1941
My Fair Lady,1964
Sabrina,1954
Roman Holiday,1953
The Little Princess,1939
Meet Me in St. Louis,1944
The Wizard of Oz,1939
Gone with the Wind,1939
My Favorite Year,1982
Sunset Boulevard,1950
Citizen Kane,1941
2001: A Space Odyssey,1968
Golden Earrings,1947
All About Eve,1950
The Women,1939
Rebecca,1940
Foreign Correspondent,1940
Notorious,1946
Spellbound,1945
An Affair to Remember,1957
To Catch a Thief,1955
Father of the Bride,1950
The Band Wagon,1953
Ninotchka,1939
Love in the Afternoon,1957
Gigi,1958
The Reluctant Debutante,1958
The Adventures of Robin Hood,1938
The Mark of Zorro,1940
Laura,1944
The Ghost and Mrs. Muir,1947
Lost Horizon,1937
Top Hat,1935
To Be or Not to Be,1942
My Man Godfrey,1936
Giant,1956
East of Eden,1955
The Thin Man,1934
His Girl Friday,1940
Around the World in Eighty Days,1956
It's a Wonderful Life,1946
Mr. Smith Goes to Washington,1939
Bringing Up Baby,1938
Penny Serenade,1941
The Scarlet Letter,1926
Lady of Burlesque,1943
Of Human Bondage,1934
Angel on My Shoulder,1946
Little Lord Fauntleroy,1936
They Made Me a Criminal,1939
The Inspector General,1949
Angel and the Badman,1947
The 39 Steps,1935
A Walk in the Sun,1945
The Outlaw,1943
Night of the Living Dead,1968
The African Queen,1951
Beat the Devil,1953
Cat on a Hot Tin Roof,1958
The Last Time I Saw Paris,1954
Meet John Doe,1941
Algiers,1938
Something to Sing About,1937
A Farewell to Arms,1932
Moonlight Murder,1936
Nothing Personal,1996
"Yes, Madam",1985
Dangerous Ground,1997
Picnic,1955
Madagascar Skin,1995
The Pompatus of Love,1996
Small Wonders,1995
Fly Away Home,1996
Bliss,1997
Grace of My Heart,1996
Brother of Sleep,1995
Maximum Risk,1996
Michael Collins,1996
The Rich Man's Wife,1996
Infinity,1996
Big Night,1996
Last Man Standing,1996
Caught,1996
Set It Off,1996
2 Days in the Valley,1996
Curdled,1996
L'associé,1979
Ed's Next Move,1996
Extreme Measures,1996
The Glimmer Man,1996
D3: The Mighty Ducks,1996
The Chamber,1996
The Apple Dumpling Gang,1975
"Davy Crockett, King of the Wild Frontier",1955
Escape to Witch Mountain,1975
The Love Bug,1968
Herbie Rides Again,1974
Old Yeller,1957
The Parent Trap,1961
Pollyanna,1960
Homeward Bound: The Incredible Journey,1993
The Shaggy Dog,1959
Swiss Family Robinson,1960
That Darn Cat!,1965
"20,000 Leagues Under the Sea",1954
Cool Runnings,1993
Angels in the Outfield,1994
Cinderella,1950
Winnie the Pooh and the Blustery Day,1968
The Three Caballeros,1944
The Sword in the Stone,1963
So Dear to My Heart,1948
Robin Hood: Prince of Thieves,1991
Mary Poppins,1964
Dumbo,1941
Pete's Dragon,1977
Bedknobs and Broomsticks,1971
Alice in Wonderland,1951
The Fox and the Hound,1981
Freeway,1996
The Sound of Music,1965
Die Hard,1988
The Lawnmower Man,1992
Unhook the Stars,1996
Synthetic Pleasures,1995
The Secret Agent,1996
Secrets & Lies,1996
That Thing You Do!,1996
To Gillian on Her 37th Birthday,1996
Surviving Picasso,1996
Love Is All There Is,1996
Beautiful Thing,1996
The Long Kiss Goodnight,1996
The Ghost and the Darkness,1996
Looking for Richard,1996
Trees Lounge,1996
The Proprietor,1996
Normal Life,1996
Get on the Bus,1996
Shadow Conspiracy,1997
Jude,1996
Everyone Says I Love You,1996
Bitter Sugar,1996
Romeo + Juliet,1996
Swingers,1996
Sleepers,1996
The Sunchaser,1996
Johns,1996
Aladdin and the King of Thieves,1996
The Woman in Question,1952
Shall We Dance,1937
A Damsel in Distress,1937
Crossfire,1947
"Murder, My Sweet",1944
Macao,1952
For the Moment,1993
Willy Wonka & the Chocolate Factory,1971
The Sexual Life of the Belgians,1994
The Innocents,1961
Sleeper,1973
Bananas,1971
A Fish Called Wanda,1988
Life of Brian,1979
Victor/Victoria,1982
The Candidate,1972
The Great Race,1965
Bonnie and Clyde,1967
The Old Man and the Sea,1958
Dial M for Murder,1954
Madame Butterfly,1995
Dirty Dancing,1987
Reservoir Dogs,1992
Platoon,1986
Weekend at Bernie's,1989
Basic Instinct,1992
The Doors,1991
The Crying Game,1992
Glengarry Glen Ross,1992
Sophie's Choice,1982
E.T. the Extra-Terrestrial,1982
The Search for One-eye Jimmy,1994
A Christmas Carol,1938
Days of Thunder,1990
Top Gun,1986
American Strays,1996
Rebel Without a Cause,1955
A Streetcar Named Desire,1951
Children of the Corn IV: The Gathering,1996
The Leopard Son,1996
Charm's  Incidents,1996
Bird of Prey,1995
Microcosmos,1996
Palookaville,1995
The Associate,1996
The Funeral,1996
The Sleepover,2013
A Single Girl,1995
The Eighth Day,1996
North Star,1996
Drunks,1997
The People vs. Larry Flynt,1996
Glory Daze,1995
A Perfect Candidate,1996
On Golden Pond,1981
The Return of the Pink Panther,1975
Drop Dead Fred,1991
The Abyss,1989
The Fog,1980
Escape from New York,1981
The Howling,1981
Jean de Florette,1986
Manon of the Spring,1986
Johnny 100 Pesos,1993
Private Benjamin,1980
Monty Python and the Holy Grail,1975
Hustler White,1996
Dadetown,1995
Everything Relative,1996
Entertaining Angels - The Dorothy Day Story,1996
Three Lives and Only One Death,1996
The Line King: The Al Hirschfeld Story,1996
Snowriders,1996
Curtis's Charm,1995
When We Were Kings,1996
The Wrong Trousers,1993
JLG/JLG: Self-Portrait in December,1995
The Return of Martin Guerre,1982
Faust,1994
He Walked by Night,1948
Raw Deal,1948
T-Men,1947
The Children Are Watching Us,1944
Pastoral Symphony,1946
Here Comes Cookie,1935
Love In Bloom,1935
Six of a Kind,1934
The Tin Drum,1979
The Ruling Class,1972
Mina Tannenbaum,1994
2 or 3 Things I Know About Her,1967
The Bloody Child,1996
Dear God,1996
Bad Moon,1996
American Dream,1990
Best of the Best 3: No Turning Back,1995
Bob Roberts,1992
Cinema Paradiso,1988
"The Cook, the Thief, His Wife & Her Lover",1989
Dead Tired,1994
Delicatessen,1991
The Double Life of Veronique,1991
Enchanted April,1991
Paths of Glory,1957
The Grifters,1990
Hear My Song,1991
The Shooter,1997
The English Patient,1996
Mediterraneo,1991
My Left Foot: The Story of Christy Brown,1989
"Sex, Lies, and Videotape",1989
Passion Fish,1992
Strictly Ballroom,1992
The Thin Blue Line,1988
Tie Me Up! Tie Me Down!,1989
Madonna: Truth or Dare,1991
Paris is Burning,1990
One Flew Over the Cuckoo's Nest,1975
Up in Smoke,1978
The Empire Strikes Back,1980
The Princess Bride,1987
Raiders of the Lost Ark,1981
Brazil,1985
Aliens,1986
"The Good, the Bad and the Ugly",1966
Withnail & I,1987
12 Angry Men,1957
Lawrence of Arabia,1962
A Clockwork Orange,1971
To Kill a Mockingbird,1962
Apocalypse Now,1979
Once Upon a Time in the West,1968
Return of the Jedi,1983
Wings of Desire,1987
The Third Man,1949
GoodFellas,1990
Alien,1979
Army of Darkness,1992
The Big Blue,1988
Ran,1985
The Killer,1989
Psycho,1960
The Blues Brothers,1980
The Godfather: Part II,1974
Full Metal Jacket,1987
A Grand Day Out,1990
Henry V,1989
Amadeus,1984
The Quiet Man,1952
Once Upon a Time in America,1984
Raging Bull,1980
Annie Hall,1977
The Right Stuff,1983
Stalker,1979
Das Boot,1981
The Sting,1973
Harold and Maude,1971
Trust,1990
The Seventh Seal,1957
Local Hero,1983
The Terminator,1984
Braindead,1992
Glory,1989
Rosencrantz & Guildenstern Are Dead,1991
Manhattan,1979
Miller's Crossing,1990
Dead Poets Society,1989
The Graduate,1967
Touch of Evil,1958
La Femme Nikita,1990
The Bridge on the River Kwai,1957
8½,1963
Chinatown,1974
The Day the Earth Stood Still,1951
The Treasure of the Sierra Madre,1948
Bad Taste,1987
Duck Soup,1933
Better Off Dead...,1985
The Shining,1980
Stand by Me,1986
M,1931
